A,Bi,Ec,kp,Pr,Q,Rd,β,β_T,l,-f''(0),-θ'(0)
0.2,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.771644,0.377063
1.0,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.789484,0.376044
1.8,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.798164,0.375704
0.6,0.0,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0
0.6,1.0,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.605168
0.6,1.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.758917
0.6,0.5,0.5,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.369923
0.6,0.5,1.0,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.361825
0.6,0.5,1.5,2.0,3.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.353727
0.6,0.5,0.1,1.5,3.0,0.1,1.5,0.5,0.5,1.0,1.63702,0.378488
0.6,0.5,0.1,2.5,3.0,0.1,1.5,0.5,0.5,1.0,1.917005,0.374419
0.6,0.5,0.1,3.0,3.0,0.1,1.5,0.5,0.5,1.0,2.042809,0.372525
0.6,0.5,0.1,2.0,4.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.392172
0.6,0.5,0.1,2.0,5.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.403032
0.6,0.5,0.1,2.0,6.0,0.1,1.5,0.5,0.5,1.0,1.782444,0.411077
0.6,0.5,0.1,2.0,3.0,0.4,1.5,0.5,0.5,1.0,1.653821,0.379178
0.6,0.5,0.1,2.0,3.0,0.8,1.5,0.5,0.5,1.0,1.484757,0.382045
0.6,0.5,0.1,2.0,3.0,1.2,1.5,0.5,0.5,1.0,1.318002,0.384326
0.6,0.5,0.1,2.0,3.0,0.1,1.0,0.5,0.5,1.0,1.782444,0.387269
0.6,0.5,0.1,2.0,3.0,0.1,2.0,0.5,0.5,1.0,1.782444,0.366583
0.6,0.5,0.1,2.0,3.0,0.1,2.5,0.5,0.5,1.0,1.782444,0.357624
0.6,0.5,0.1,2.0,3.0,0.1,1.5,1.0,0.5,1.0,1.82808,0.37577
0.6,0.5,0.1,2.0,3.0,0.1,1.5,2.0,0.5,1.0,1.827636,0.375567
0.6,0.5,0.1,2.0,3.0,0.1,1.5,3.0,0.5,1.0,1.894503,0.37562
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,1.0,1.0,1.782444,0.37967
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,2.0,1.0,1.782444,0.382884
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,3.0,1.0,1.782444,0.384525
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,0.5,1.735576,0.374295
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,1.5,1.828128,0.378363
0.6,0.5,0.1,2.0,3.0,0.1,1.5,0.5,0.5,2.0,1.872713,0.380197